Kinase,Group,Family,Gene Symbol
Wnk4,Other,WNK,WNK4
Wnk3,Other,WNK,WNK3
Wnk2,Other,WNK,WNK2
HSER,RGC,RGC,GUCY2C
CYGF,RGC,RGC,GUCY2F
CYGD,RGC,RGC,GUCY2D
ANPa,RGC,RGC,NPR1
ANPb,RGC,RGC,NPR2
MAP3K5,STE,STE11,MAP3K5
MAP3K6,STE,STE11,MAP3K6
MAP3K7,STE,STE11,MAP3K15
MAP3K1,STE,STE11,MAP3K1
MAP3K8,STE,STE11,YSK4
MAP3K3,STE,STE11,MAP3K3
MAP3K2,STE,STE11,MAP3K2
MAP3K4,STE,STE11,MAP3K4
OSR1,STE,STE20,OXSR1
STLK3,STE,STE20,STK39
GCK,STE,STE20,MAP4K2
KHS2,STE,STE20,MAP4K3
KHS1,STE,STE20,MAP4K5
HPK1,STE,STE20,MAP4K1
HGK,STE,STE20,MAP4K4
TNIK,STE,STE20,TNIK
NRK,STE,STE20,NRK
MINK,STE,STE20,MINK1
MST2,STE,STE20,STK3
MST1,STE,STE20,STK4
MYO3A,STE,STE20,MYO3A
MYO3B,STE,STE20,MYO3B
PAK1,STE,STE20,PAK1
PAK2,STE,STE20,PAK2
PAK3,STE,STE20,PAK3
PAK4,STE,STE20,PAK4
PAK6,STE,STE20,PAK6
PAK5,STE,STE20,PAK7
LOK,STE,STE20,STK10
SLK,STE,STE20,SLK
STLK6,STE,STE20,ALS2CR2
STLK5,STE,STE20,LYK5
TAO2,STE,STE20,TAOK2
TAO3,STE,STE20,TAOK3
TAO1,STE,STE20,TAOK1
MST3,STE,STE20,STK24
YSK1,STE,STE20,STK25
MST4,STE,STE20,RP6-213H19.1
MAP2K1,STE,STE7,MAP2K1
MAP2K2,STE,STE7,MAP2K2
MAP2K3,STE,STE7,MAP2K3
MAP2K6,STE,STE7,MAP2K6
MAP2K4,STE,STE7,MAP2K4
MAP2K5,STE,STE7,MAP2K5
MAP2K7,STE,STE7,MAP2K7
COT,STE,STE-Unique,MAP3K8
NIK,STE,STE-Unique,MAP3K14
ABL1(Abl),TK,Abl,ABL1
ABL2(ARG),TK,Abl,ABL2
ACK,TK,Ack,TNK2
TNK1,TK,Ack,TNK1
ALK,TK,ALK,ALK
LTK,TK,ALK,LTK
AXL,TK,Axl,AXL
TYRO3,TK,Axl,TYRO3
MER,TK,Axl,MERTK
CCK4,TK,CCK4,PTK7
CSK,TK,Csk,CSK
CTK,TK,Csk,MATK
DDR1,TK,DDR,DDR1
DDR2,TK,DDR,DDR2
EGFR,TK,EGFR,EGFR
ErbB2,TK,EGFR,ERBB2
ErbB3,TK,EGFR,ERBB3
ErbB4,TK,EGFR,ERBB4
EphA2,TK,Eph,EPHA2
EphA1,TK,Eph,EPHA1
EphA3,TK,Eph,EPHA3
EphA4,TK,Eph,EPHA4
EphA5,TK,Eph,EPHA5
EphA7,TK,Eph,EPHA7
EphA8,TK,Eph,EPHA8
EphB1,TK,Eph,EPHB1
EphB2,TK,Eph,EPHB2
EphB3,TK,Eph,EPHB3
EphB4,TK,Eph,EPHB4
EphB6,TK,Eph,EPHB6
EphA10,TK,Eph,EPHA10
EphA6,TK,Eph,EPHA6
PYK2,TK,FAK,PTK2B
FAK,TK,FAK,PTK2
FER,TK,Fer,FER
FES,TK,Fer,FES
FGFR1,TK,FGFR,FGFR1
FGFR3,TK,FGFR,FGFR3
FGFR2,TK,FGFR,FGFR2
FGFR4,TK,FGFR,FGFR4
IGF1R,TK,InsR,IGF1R
INSR,TK,InsR,INSR
IRR,TK,InsR,INSRR
JAK1,TK,JAK,JAK1
JAK2,TK,JAK,JAK2
JAK3,TK,JAK,JAK3
TYK2,TK,JAK,TYK2
LMR1,TK,Lmr,AATK
LMR2,TK,Lmr,LMTK2
LMR3,TK,Lmr,LMTK3
MET,TK,Met,MET
RON,TK,Met,MST1R
MUSK,TK,Musk,MUSK
FMS,TK,PDGFR,CSF1R
FLT3,TK,PDGFR,FLT3
KIT,TK,PDGFR,KIT
PDGFRa,TK,PDGFR,PDGFRA
PDGFRb,TK,PDGFR,PDGFRB
RET,TK,Ret,RET
ROR1,TK,Ror,ROR1
ROR2,TK,Ror,ROR2
RYK,TK,Ryk,RYK
ROS,TK,Sev,ROS1
FRK,TK,Src,FRK
FGR,TK,Src,FGR
FYN,TK,Src,FYN
SRC,TK,Src,SRC
YES,TK,Src,YES1
BLK,TK,Src,BLK
HCK,TK,Src,HCK
LCK,TK,Src,LCK
LYN,TK,Src,LYN
BRK,TK,Src,PTK6
SRM,TK,Src,SRMS
SYK,TK,Syk,SYK
ZAP70,TK,Syk,ZAP70
BMX,TK,Tec,BMX
BTK,TK,Tec,BTK
ITK,TK,Tec,ITK
TEC,TK,Tec,TEC
TXK,TK,Tec,TXK
TIE2,TK,Tie,TEK
TIE1,TK,Tie,TIE1
SuRTK106,TK,TK-Unique,STYK1
TRKA,TK,Trk,NTRK1
TRKB,TK,Trk,NTRK2
TRKC,TK,Trk,NTRK3
FLT1,TK,VEGFR,FLT1
FLT4,TK,VEGFR,FLT4
KDR,TK,VEGFR,KDR
IRAK1,TKL,IRAK,IRAK1
IRAK2,TKL,IRAK,IRAK2
IRAK3,TKL,IRAK,IRAK3
IRAK4,TKL,IRAK,IRAK4
LIMK1,TKL,LISK,LIMK1
LIMK2,TKL,LISK,LIMK2
TESK1,TKL,LISK,TESK1
TESK2,TKL,LISK,TESK2
LRRK1,TKL,LRRK,LRRK1
LRRK2,TKL,LRRK,LRRK2
HH498,TKL,MLK,TNNI3K
ILK,TKL,MLK,ILK
DLK,TKL,MLK,MAP3K12
LZK,TKL,MLK,MAP3K13
MLK1,TKL,MLK,MAP3K9
MLK2,TKL,MLK,MAP3K10
MLK3,TKL,MLK,MAP3K11
MLK4,TKL,MLK,KIAA1804
TAK1,TKL,MLK,MAP3K7
ZAK,TKL,MLK,ZAK
KSR1,TKL,RAF,KSR1
KSR2,TKL,RAF,KSR2
ARAF,TKL,RAF,ARAF
BRAF,TKL,RAF,BRAF
RAF1,TKL,RAF,RAF1
RIPK1,TKL,RIPK,RIPK1
RIPK2,TKL,RIPK,RIPK2
RIPK3,TKL,RIPK,RIPK3
ANKRD3,TKL,RIPK,RIPK4
SgK288,TKL,RIPK,ANKK1
ALK2,TKL,STKR,ACVR1
ALK4,TKL,STKR,ACVR1B
ALK1,TKL,STKR,ACVRL1
BMPR1A,TKL,STKR,BMPR1A
BMPR1B,TKL,STKR,BMPR1B
TGFbR1,TKL,STKR,TGFBR1
ALK7,TKL,STKR,ACVR1C
ACTR2,TKL,STKR,ACVR2A
ACTR2B,TKL,STKR,ACVR2B
MISR2,TKL,STKR,AMHR2
BMPR2,TKL,STKR,BMPR2
TGFbR2,TKL,STKR,TGFBR2
MLKL,TKL,TKL-Unique,MLKL
CK2a1-rs,CMGC,CK2,
STLK6-rs,STE,STE20,
